loc_id,straat,huisnummer,huisnummerToevoeging,postcode,plaats,bereikbaarheid,first_seen,last_seen
1025:4076,Buikslotermeerplein,0,P1,1025 ES,Amsterdam,DIVERSE_MANIEREN,2022-02-05,2022-02-15
1034:ecbd,Bezaanjachtplein,42,,1034 GC,Amsterdam,DIVERSE_MANIEREN,2022-02-06,2022-02-11
1034:f67a,Bezaanjachtplein,,,1034 GC,Amsterdam,DIVERSE_MANIEREN,2022-02-09,2022-02-15
1043:90eb,Teleportboulevard,0,,1043 DZ,Amsterdam,DIVERSE_MANIEREN,2022-02-05,2022-02-09
1066:04e8,Louwesweg,6,ingang Spoedeisende Hulp,1066 EC,Amsterdam,ALLEEN_FIETS,2022-02-05,2022-02-10
1078:d1fd,Europaplein,24,,1078 GZ,Amsterdam,DIVERSE_MANIEREN,2022-02-05,2022-02-15
1627:b1ca,Protonweg,13,,1627 LD,Hoorn,DIVERSE_MANIEREN,2022-02-05,2022-02-15
2287:731f,Waldhoornplein,1,,2287 EH,Rijswijk,DIVERSE_MANIEREN,2022-02-06,2022-02-15
2512:c854,Lijnbaan,32,,2512 VA,Den Haag,ALLEEN_FIETS,2022-02-11,2022-02-12
2512:cd4e,Lijnbaan,32,,2512 VA ,Den Haag,ALLEEN_FIETS,2022-02-07,2022-02-10
2516:a7ff,Ketelstraat,23,,2516VT,Den Haag,DIVERSE_MANIEREN,2022-02-07,2022-02-11
2597:377e,Bronovolaan,5,,2597 AX,Den Haag,DIVERSE_MANIEREN,2022-02-08,2022-02-11
2612:70c8,Bieslandsekade,68,,2612 JX,Delft,DIVERSE_MANIEREN,2022-02-06,2022-02-15
2632:fe39,Gildeweg,1,,2632 BD,Nootdorp,DIVERSE_MANIEREN,2022-02-06,2022-02-15
2685:3481,Julianastraat,49,,2685 BB,Poeldijk,DIVERSE_MANIEREN,2022-02-07,2022-02-10
2907:b75a,Capelseweg,39,,2907 XA,Capelle aan den IJssel,DIVERSE_MANIEREN,2022-02-06,2022-02-13
3026:0941,Korfmakerstraat,131,,3026 XG,Rotterdam,DIVERSE_MANIEREN,2022-02-09,2022-02-15
3045:5690,Airportplein P4,0,,3045 AP,Rotterdam,DIVERSE_MANIEREN,2022-02-05,2022-02-15
3077:df6c,Van Zandvlietplein,20,,3077 AA,Rotterdam,DIVERSE_MANIEREN,2022-02-06,2022-02-13
3085:3cda,Slingeplein,8,,3085 EZ,Rotterdam,DIVERSE_MANIEREN,2022-02-12,2022-02-13
3119:16e3,Monseigneur Nolenslaan,99,,3119 EB,Schiedam,DIVERSE_MANIEREN,2022-02-09,2022-02-15
3454:0363,Meerndijk,59,,3454 HP,De Meern,DIVERSE_MANIEREN,2022-02-05,2022-02-05
3527:d3f3,Jaarbeurs XL A Truus van Lierlaan,2,P2,3527KZ,Utrecht,DIVERSE_MANIEREN,2022-02-05,2022-02-15
3534:472b,Koploperstraat,50,,3534 BH,Utrecht,DIVERSE_MANIEREN,2022-02-05,2022-02-15
3552:3c0f,Zandpad,135,,3552 TJ,Utrecht,DIVERSE_MANIEREN,2022-02-06,2022-02-15
3562:ffee,Neckardreef,6,,3562 CN,Utrecht,DIVERSE_MANIEREN,2022-02-05,2022-02-07
4462:60da,Da Vinciplein,1,,4462 GK,Goes,DIVERSE_MANIEREN,2022-02-05,2022-02-15
4462:6e15,Da Vinciplein,1,,4462 GK,Goes,DIVERSE_MANIEREN,2022-02-08,2022-02-15
5042:dd22,Westermarkt,4,,5042 MC,Tilburg,DIVERSE_MANIEREN,2022-02-14,2022-02-14
5048:eb06,Ledeboerstraat,14,-16,5048 AD,Tilburg,DIVERSE_MANIEREN,2022-02-05,2022-02-15
5406:fec5,Vluchtoord,4,,5406 XP,Uden,DIVERSE_MANIEREN,2022-02-05,2022-02-15
