scan_time,req_date,req_pc4,opt0_short_addr,opt0_time,opt0_loc_id,opt1_short_addr,opt1_time,opt1_loc_id,opt2_short_addr,opt2_time,opt2_loc_id
2022-02-07 00:00,2022-02-08,3511,3552 Utrecht,2022-02-08 15:15,3552:3c0f,3527 Utrecht,2022-02-08 09:15,3527:d3f3,3534 Utrecht,2022-02-08 09:15,3534:472b
2022-02-07 00:00,2022-02-09,3511,3552 Utrecht,2022-02-09 15:00,3552:3c0f,3527 Utrecht,2022-02-09 09:00,3527:d3f3,3534 Utrecht,2022-02-09 09:00,3534:472b
2022-02-07 00:00,2022-02-10,3511,3552 Utrecht,2022-02-10 14:45,3552:3c0f,3527 Utrecht,2022-02-10 09:00,3527:d3f3,3534 Utrecht,2022-02-10 09:00,3534:472b
2022-02-07 00:00,2022-02-07,5611,5644 Eindhoven,2022-02-07 11:45,5644:7872,,,,,,
2022-02-07 00:00,2022-02-08,5611,5644 Eindhoven,2022-02-08 08:45,5644:7872,,,,,,
2022-02-07 00:00,2022-02-09,5611,5644 Eindhoven,2022-02-09 08:30,5644:7872,,,,,,
2022-02-07 00:00,2022-02-10,5611,5644 Eindhoven,2022-02-10 08:30,5644:7872,,,,,,
2022-02-07 00:00,2022-02-07,5038,5048 Tilburg,2022-02-07 11:22,5048:eb06,,,,,,
2022-02-07 00:00,2022-02-08,5038,5048 Tilburg,2022-02-08 10:09,5048:eb06,,,,,,
2022-02-07 00:00,2022-02-09,5038,5048 Tilburg,2022-02-09 09:12,5048:eb06,,,,,,
2022-02-07 00:00,2022-02-10,5038,5048 Tilburg,2022-02-10 08:48,5048:eb06,,,,,,
2022-02-07 00:01,2022-02-07,9726,9723 Groningen,2022-02-07 15:50,9723:e146,9747 Groningen,2022-02-07 15:45,9747:1c04,,,
2022-02-07 00:01,2022-02-08,9726,9711 Groningen,2022-02-08 09:30,9711:ed2c,9723 Groningen,2022-02-08 09:03,9723:e146,9743 Groningen,2022-02-08 09:30,9743:9d51
2022-02-07 00:01,2022-02-09,9726,9711 Groningen,2022-02-09 09:15,9711:ed2c,9723 Groningen,2022-02-09 08:57,9723:e146,9743 Groningen,2022-02-09 09:15,9743:9d51
2022-02-07 00:01,2022-02-10,9726,9711 Groningen,2022-02-10 09:00,9711:ed2c,9723 Groningen,2022-02-10 08:51,9723:e146,9743 Groningen,2022-02-10 09:00,9743:9d51
2022-02-07 00:01,2022-02-07,8011,8013 Zwolle,2022-02-07 19:15,8013:1e91,,,,,,
2022-02-07 00:01,2022-02-08,8011,8013 Zwolle,2022-02-08 11:45,8013:1e91,,,,,,
2022-02-07 00:01,2022-02-09,8011,8013 Zwolle,2022-02-09 09:45,8013:1e91,,,,,,
2022-02-07 00:01,2022-02-10,8011,8013 Zwolle,2022-02-10 09:15,8013:1e91,,,,,,
2022-02-07 00:01,2022-02-07,6041,,,,,,,,,
2022-02-07 00:01,2022-02-08,6041,,,,,,,,,
2022-02-07 00:01,2022-02-09,6041,,,,,,,,,
2022-02-07 00:01,2022-02-10,6041,,,,,,,,,
2022-02-07 00:01,2022-02-07,1011,1078 Amsterdam,2022-02-07 13:20,1078:d1fd,1025 Amsterdam,2022-02-07 09:00,1025:4076,1034 Amsterdam,2022-02-07 13:30,1034:ecbd
2022-02-07 00:01,2022-02-08,1011,1078 Amsterdam,2022-02-08 09:20,1078:d1fd,1025 Amsterdam,2022-02-08 07:50,1025:4076,1034 Amsterdam,2022-02-08 09:30,1034:ecbd
2022-02-07 00:01,2022-02-09,1011,1078 Amsterdam,2022-02-09 09:00,1078:d1fd,1025 Amsterdam,2022-02-09 07:50,1025:4076,1034 Amsterdam,2022-02-09 09:00,1034:ecbd
2022-02-07 00:02,2022-02-10,1011,1078 Amsterdam,2022-02-10 08:50,1078:d1fd,1025 Amsterdam,2022-02-10 07:50,1025:4076,1034 Amsterdam,2022-02-10 09:00,1034:ecbd
2022-02-07 00:02,2022-02-07,3013,3045 Rotterdam,2022-02-07 10:12,3045:5690,,,,,,
2022-02-07 00:02,2022-02-08,3013,3045 Rotterdam,2022-02-08 10:00,3045:5690,3077 Rotterdam,2022-02-08 12:21,3077:df6c,2907 Capelle aan den IJssel,2022-02-08 09:24,2907:b75a
2022-02-07 00:02,2022-02-09,3013,3045 Rotterdam,2022-02-09 09:12,3045:5690,3077 Rotterdam,2022-02-09 08:51,3077:df6c,2907 Capelle aan den IJssel,2022-02-09 08:39,2907:b75a
2022-02-07 00:02,2022-02-10,3013,3045 Rotterdam,2022-02-10 08:48,3045:5690,3077 Rotterdam,2022-02-10 08:39,3077:df6c,2907 Capelle aan den IJssel,2022-02-10 08:33,2907:b75a
2022-02-07 00:02,2022-02-07,2515,2287 Rijswijk,2022-02-07 14:15,2287:731f,2516 Den Haag,2022-02-07 14:42,2516:a7ff,2512 Den Haag,2022-02-07 11:52,2512:cd4e
2022-02-07 00:02,2022-02-08,2515,2287 Rijswijk,2022-02-08 08:39,2287:731f,2632 Nootdorp,2022-02-08 10:15,2632:fe39,2612 Delft,2022-02-08 14:33,2612:70c8
2022-02-07 00:02,2022-02-09,2515,2287 Rijswijk,2022-02-09 08:36,2287:731f,2632 Nootdorp,2022-02-09 10:25,2632:fe39,2612 Delft,2022-02-09 09:24,2612:70c8
2022-02-07 00:02,2022-02-10,2515,2287 Rijswijk,2022-02-10 10:54,2287:731f,2632 Nootdorp,2022-02-10 08:51,2632:fe39,2612 Delft,2022-02-10 09:12,2612:70c8
2022-02-07 00:02,2022-02-07,7311,7324 Apeldoorn,2022-02-07 21:02,7324:5c1f,,,,,,
2022-02-07 00:02,2022-02-08,7311,7324 Apeldoorn,2022-02-08 11:13,7324:5c1f,,,,,,
2022-02-07 00:02,2022-02-09,7311,7324 Apeldoorn,2022-02-09 10:52,7324:5c1f,,,,,,
2022-02-07 00:02,2022-02-10,7311,7324 Apeldoorn,2022-02-10 10:40,7324:5c1f,,,,,,
2022-02-07 00:02,2022-02-07,6229,6229 Maastricht,2022-02-07 11:00,6229:121a,,,,,,
2022-02-07 00:02,2022-02-08,6229,6229 Maastricht,2022-02-08 09:30,6229:121a,,,,,,
2022-02-07 00:03,2022-02-09,6229,6229 Maastricht,2022-02-09 08:45,6229:121a,,,,,,
2022-02-07 00:03,2022-02-10,6229,6229 Maastricht,2022-02-10 08:30,6229:121a,,,,,,
2022-02-07 00:03,2022-02-07,7556,7556 Hengelo,2022-02-07 14:30,7556:3644,7514 Enschede,2022-02-07 15:15,7514:8035,,,
2022-02-07 00:03,2022-02-08,7556,7556 Hengelo,2022-02-08 08:54,7556:3644,7514 Enschede,2022-02-08 09:15,7514:8035,,,
2022-02-07 00:03,2022-02-09,7556,7556 Hengelo,2022-02-09 08:45,7556:3644,7514 Enschede,2022-02-09 08:45,7514:8035,,,
2022-02-07 00:03,2022-02-10,7556,7556 Hengelo,2022-02-10 08:33,7556:3644,7514 Enschede,2022-02-10 08:15,7514:8035,,,
2022-02-07 00:03,2022-02-07,6541,,,,,,,,,
2022-02-07 00:03,2022-02-08,6541,6541 Nijmegen,2022-02-08 11:42,6541:dc80,6662 Elst,2022-02-08 09:36,6662:96b8,6603 Wijchen,2022-02-08 08:39,6603:3380
2022-02-07 00:03,2022-02-09,6541,6541 Nijmegen,2022-02-09 09:00,6541:dc80,6662 Elst,2022-02-09 09:24,6662:96b8,6603 Wijchen,2022-02-09 08:09,6603:3380
2022-02-07 00:03,2022-02-10,6541,6541 Nijmegen,2022-02-10 08:30,6541:dc80,6662 Elst,2022-02-10 09:06,6662:96b8,6603 Wijchen,2022-02-10 08:00,6603:3380
2022-02-07 00:03,2022-02-07,8911,8924 Leeuwarden,2022-02-07 15:29,8924:58b0,,,,,,
2022-02-07 00:03,2022-02-08,8911,8924 Leeuwarden,2022-02-08 08:57,8924:58b0,,,,,,
2022-02-07 00:03,2022-02-09,8911,8924 Leeuwarden,2022-02-09 08:45,8924:58b0,,,,,,
2022-02-07 00:03,2022-02-10,8911,8924 Leeuwarden,2022-02-10 08:57,8924:58b0,,,,,,
2022-02-07 00:03,2022-02-07,8232,8242 Lelystad,2022-02-07 13:03,8242:849d,,,,,,
2022-02-07 00:04,2022-02-08,8232,8242 Lelystad,2022-02-08 10:06,8242:849d,,,,,,
2022-02-07 00:04,2022-02-09,8232,8242 Lelystad,2022-02-09 09:51,8242:849d,,,,,,
2022-02-07 00:04,2022-02-10,8232,8242 Lelystad,2022-02-10 09:39,8242:849d,,,,,,
2022-02-07 00:04,2022-02-07,4462,4462 Goes,2022-02-07 08:51,4462:60da,,,,,,
2022-02-07 00:04,2022-02-08,4462,4462 Goes,2022-02-08 08:30,4462:60da,,,,,,
2022-02-07 00:04,2022-02-09,4462,4462 Goes,2022-02-09 08:24,4462:60da,,,,,,
2022-02-07 00:04,2022-02-10,4462,4462 Goes,2022-02-10 08:15,4462:60da,,,,,,
2022-02-07 00:04,2022-02-07,9501,9502 Stadskanaal,2022-02-07 14:45,9502:747f,,,,,,
2022-02-07 00:04,2022-02-08,9501,9502 Stadskanaal,2022-02-08 09:45,9502:747f,,,,,,
2022-02-07 00:04,2022-02-09,9501,9502 Stadskanaal,2022-02-09 09:45,9502:747f,,,,,,
2022-02-07 00:04,2022-02-10,9501,9502 Stadskanaal,2022-02-10 09:45,9502:747f,,,,,,
2022-02-07 00:04,2022-02-07,1625,1627 Hoorn,2022-02-07 11:30,1627:b1ca,,,,,,
2022-02-07 00:04,2022-02-08,1625,1627 Hoorn,2022-02-08 09:15,1627:b1ca,,,,,,
2022-02-07 00:04,2022-02-09,1625,1627 Hoorn,2022-02-09 09:00,1627:b1ca,,,,,,
2022-02-07 00:04,2022-02-10,1625,1627 Hoorn,2022-02-10 08:30,1627:b1ca,,,,,,
2022-02-07 00:05,2022-02-07,9291,,,,,,,,,
2022-02-07 00:05,2022-02-08,9291,9291 Kollum,2022-02-08 09:06,9291:7875,,,,,,
2022-02-07 00:05,2022-02-09,9291,9291 Kollum,2022-02-09 08:51,9291:7875,,,,,,
2022-02-07 00:05,2022-02-10,9291,9291 Kollum,2022-02-10 08:45,9291:7875,,,,,,
2022-02-07 00:05,2022-02-07,5401,5406 Uden,2022-02-07 14:35,5406:fec5,,,,,,
2022-02-07 00:05,2022-02-08,5401,5406 Uden,2022-02-08 09:54,5406:fec5,,,,,,
2022-02-07 00:05,2022-02-09,5401,5406 Uden,2022-02-09 08:57,5406:fec5,,,,,,
2022-02-07 00:05,2022-02-10,5401,5406 Uden,2022-02-10 08:54,5406:fec5,,,,,,
2022-02-07 00:05,2022-02-07,7903,7903 Hoogeveen,2022-02-07 15:33,7903:64b3,,,,,,
2022-02-07 00:05,2022-02-08,7903,7903 Hoogeveen,2022-02-08 09:51,7903:64b3,,,,,,
